Uhel_Stupne;Max_Pnuti;Hustota_Mostu;Status
0;10.568442511386907;0.3752463667568902;ODRAZ
2;10.573076012341774;0.3847275689208014;ODRAZ
4;10.577692596665045;0.4118526613010385;ODRAZ
6;10.582286665573072;0.45343736386996447;ODRAZ
8;10.586852654843902;0.505885304177448;ODRAZ
10;10.59138504142172;0.5661314336486906;ODRAZ
12;10.595878349938241;0.6318871141389386;ODRAZ
14;10.60032715914385;0.7015365488390931;ODRAZ
16;10.604726108242447;0.7739562348685675;ODRAZ
18;10.609069903123226;0.8483603610444187;ODRAZ
20;10.613353322483768;0.9241902419965061;ODRAZ
22;10.617571223838478;1.0010401527805715;ODRAZ
24;10.621718549407003;1.0786085419442413;ODRAZ
26;10.625790331877194;1.156665922032773;ODRAZ
28;10.629781700037814;1.2350335249961792;ODRAZ
30;10.633687884275632;1.313568909490728;ODRAZ
32;10.637504221933376;1.3921560994097448;ODRAZ
34;10.641226162522855;1.4706987157060332;ODRAZ
36;10.644849272790552;1.5491151157952043;ODRAZ
38;10.648369241630512;1.6273349007254296;ODRAZ
40;10.651781884841865;1.7052963687930829;ODRAZ
42;10.655083149726947;1.7829446339711728;ODRAZ
44;10.658269119526846;1.860230218055308;ODRAZ
46;10.661336017691555;1.9371079849626345;ODRAZ
48;10.664280211981477;2.013536325328412;ODRAZ
50;10.66709821839781;2.0894765264092166;ODRAZ
52;10.669786704939401;2.1648922807247817;ODRAZ
54;10.672342495183454;2.2397492996708674;ODRAZ
56;10.674762571687967;2.3140150073401777;ODRAZ
58;10.677044079213951;2.387658296197968;ODRAZ
60;10.679184327765672;2.46064933087324;ODRAZ
62;10.68118079544691;2.5329593896825022;ODRAZ
64;10.68303113113166;2.604560735969912;ODRAZ
66;10.684733156948086;2.675426513176948;ODRAZ
68;10.686284870574156;2.7455306589243014;ODRAZ
70;10.68768444734374;2.8148478344225416;ODRAZ
72;10.688930242162359;2.883353366314565;ODRAZ
74;10.690020791231078;2.9510231986563493;ODRAZ
76;10.690954813578337;3.0178338532082547;ODRAZ
78;10.691731212398409;3.083762396571764;ODRAZ
80;10.692349076196116;3.148786412989977;ODRAZ
82;10.692807679737191;3.2128839818539463;ODRAZ
84;10.693106484803712;3.2760336591338346;ODRAZ
86;10.693245140754584;3.33821446209521;ODRAZ
88;10.69322348489027;3.399405856773746;ODRAZ
90;10.693041542622156;3.459587747772872;ODRAZ
92;10.6926995274461;3.518740470022463;ODRAZ
94;10.692197840720144;3.576844782196881;ODRAZ
96;10.691537071247152;3.6338818615394626;ODRAZ
98;10.690717994661316;3.6898332998808265;ODRAZ
100;10.68974157262014;3.744681100671694;ODRAZ
102;10.688608951801674;3.7984076768779933;ODRAZ
104;10.687321462707029;3.8509958496091508;ODRAZ
106;10.685880618269984;3.902428847369171;ODRAZ
108;10.684288112272938;3.952690305836129;ODRAZ
110;10.682545817571146;4.001764268089092;ODRAZ
112;10.680655784125538;4.049635185212565;ODRAZ
114;10.678620236845159;4.096287917218199;ODRAZ
116;10.676441573240625;4.141707734231516;ODRAZ
118;10.674122360889635;4.185880317898112;ODRAZ
120;10.671665334715762;4.228791762969976;ODRAZ
122;10.669073394082528;4.270428579037197;ODRAZ
124;10.666349599703826;4.310777692374863;ODRAZ
126;10.663497170372754;4.349826447878581;ODRAZ
128;10.660519479510848;4.387562611065161;ODRAZ
130;10.657420051539454;4.423974370117942;ODRAZ
132;10.654202558076008;4.459050337958389;ODRAZ
134;10.650870813956928;4.49277955432801;ODRAZ
136;10.647428773090445;4.525151487865975;ODRAZ
138;10.643880524141352;4.556156038169997;ODRAZ
140;10.640230286051354;4.585783537828852;ODRAZ
142;10.636482403397567;4.6140247544166675;ODRAZ
144;10.632641341592555;4.640870892439657;ODRAZ
146;10.628711681929962;4.666313595227506;ODRAZ
148;10.624698116478589;4.690344946761939;ODRAZ
150;10.620605442829781;4.712957473436199;ODRAZ
152;10.616438558701535;4.734144145739398;ODRAZ
