ID;Pocet_Vazeb;Uhly_Mezi_Vazbami;Celkove_Pnuti
4H_test_15;4;[np.float64(148.8), np.float64(59.0), np.float64(99.5), np.float64(123.5), np.float64(57.4), np.float64(74.7)];215999.64
4H_test_16;4;[np.float64(126.6), np.float64(111.3), np.float64(130.6), np.float64(98.3), np.float64(98.3), np.float64(33.2)];205528.66
4H_test_17;4;[np.float64(82.3), np.float64(50.9), np.float64(92.0), np.float64(32.2), np.float64(76.6), np.float64(86.9)];197826.03
4H_test_18;4;[np.float64(97.7), np.float64(59.4), np.float64(91.9), np.float64(102.3), np.float64(130.4), np.float64(44.2)];209676.77
4H_test_19;4;[np.float64(92.8), np.float64(10.2), np.float64(72.3), np.float64(102.8), np.float64(145.7), np.float64(65.0)];213145.31
4H_test_20;4;[np.float64(83.2), np.float64(126.6), np.float64(38.9), np.float64(108.1), np.float64(120.0), np.float64(99.7)];206945.83
4H_test_21;4;[np.float64(86.4), np.float64(86.0), np.float64(109.2), np.float64(48.5), np.float64(38.0), np.float64(81.5)];214531.54
4H_test_22;4;[np.float64(132.7), np.float64(82.5), np.float64(70.0), np.float64(54.9), np.float64(62.8), np.float64(30.4)];198165.07
4H_test_23;4;[np.float64(84.4), np.float64(123.7), np.float64(117.4), np.float64(149.0), np.float64(42.4), np.float64(107.2)];214398.81
4H_test_24;4;[np.float64(39.6), np.float64(141.0), np.float64(140.7), np.float64(129.2), np.float64(177.2), np.float64(48.3)];204377.06
4H_test_25;4;[np.float64(42.7), np.float64(47.6), np.float64(107.5), np.float64(81.7), np.float64(136.8), np.float64(97.1)];201385.12
4H_test_26;4;[np.float64(61.7), np.float64(18.4), np.float64(40.6), np.float64(43.9), np.float64(100.1), np.float64(56.6)];205692.62
4H_test_27;4;[np.float64(150.2), np.float64(61.9), np.float64(163.9), np.float64(103.7), np.float64(15.7), np.float64(116.3)];204621.43
4H_test_28;4;[np.float64(36.9), np.float64(51.3), np.float64(28.7), np.float64(27.6), np.float64(38.5), np.float64(33.0)];220267.24
4H_test_29;4;[np.float64(111.1), np.float64(128.0), np.float64(132.4), np.float64(18.9), np.float64(106.2), np.float64(94.8)];205497.38
