Prvek;Symbol;Atomove_Cislo;Teoreticke_Pnuti_Psi;Dosazene_Pnuti_Psi;Hmotnostni_Defekt_MeV;Status_Mrizky
Deuterium;D;1;552.93;4173.05109284757;-362.01;STABILNÍ
Hélium-4;He;2;1100.45;8305.272050936112;-720.48;STABILNÍ
Berylium-8;Be;4;2198.1;16000.0;0.0;KOLAPS (SUPERNOVA LIMIT)
